Ouvriers et manoeuvres,,
Manoeuvre niveau I/OE1,h,"18,32€"
Manoeuvre niveau I/OE2,h,"19,47€"
Ouvrier niveau II/OP,h,"21,45€"
Ouvrier niveau III/CP1,h,"24,16€"
Ouvrier niveau III/CP2,h,"26,07€"
Ouvrier niveau IV/MO1,h,"27,97€"
Ouvrier niveau IV/MO2,h,"29,81€"
"Ouvrier niveau III/CP2, majoré pour travail de nuit, dimanche et férié",h,"52,13€"
Manoeuvre niveau I/OE1,h,"18,32€"
"Ouvrier niveau III/CP2, BT02, VRD",h,"26,07€"
"Manoeuvre niveau I/OE1, BT03, maçonnerie, canalisation béton",h,"18,32€"
"Ouvrier niveau III/CP2, BT03, maçonnerie, canalisation béton",h,"26,07€"
"Manoeuvre niveau I/OE1, BT06, ossature, ouvrages en béton armé",h,"18,32€"
"Ouvrier niveau III/CP2, BT06, ossature, ouvrages en béton armé",h,"26,07€"
"Manoeuvre niveau I/OE1, BT07, ossature et charpentes métalliques",h,"18,32€"
"Ouvrier niveau III/CP2, BT07, ossature et charpentes métalliques",h,"26,07€"
"Manoeuvre niveau I/OE1, BT08, plâtre et préfabriqués",h,"18,32€"
"Ouvrier niveau III/CP2, BT08, plâtre et préfabriqués",h,"26,07€"
"Manoeuvre niveau I/OE1, BT09, carrelage et revêtement céramiques",h,"18,32€"
"Ouvrier niveau III/CP2, BT09, carrelage et revêtement céramiques",h,"26,07€"
"Manoeuvre niveau I/OE1, BT10, revêtement plastique",h,"18,32€"
"Ouvrier niveau III/CP2, BT10, revêtement plastique",h,"26,07€"
"Manoeuvre niveau I/OE1, BT11, revêtement textiles synthétiques",h,"18,32€"
"Ouvrier niveau III/CP2, BT11, revêtement textiles synthétiques",h,"26,07€"
"Manoeuvre niveau I/OE1, BT12, revêtement textiles naturels",h,"18,32€"
"Ouvrier niveau III/CP2, BT12, revêtement textiles naturels",h,"26,07€"
